LAT,LON,TYPE,NAME,COUNTRY,CITY,IATA
52.380001,13.5225,LAR,Berlin-Schonefeld Airport,DE,Berlin,SXF
55.58560181,12.13140011,MED,Copenhagen Roskilde Airport,DK,Copenhagen,RKE
55.61790085,12.65600014,LAR,Copenhagen Kastrup Airport,DK,Copenhagen,CPH
15.547,-61.299999,MED,Douglas-Charles Airport,DM,Marigot,DOM
15.33670044,-61.39220047,MED,Canefield Airport,DM,Canefield,DCF
18.57250023,-69.98560333,MED,La Isabela International Airport,DO,La Isabela,JBQ
19.40609932,-70.60469818,MED,Cibao International Airport,DO,Santiago,STI
18.42970085,-69.66889954,LAR,Las Amarricas International Airport,DO,Santo Domingo,SDQ
36.69100189,3.215409994,LAR,Houari Boumediene Airport,DZ,Algiers,ALG
-0.129166667,-78.3575,LAR,Mariscal Sucre International Airport,EC,Quito,UIO
59.41329956,24.83279991,LAR,Lennart Meri Tallinn Airport,EE,Tallinn,TLL
31.068559,34.129629,MED,El Gora Airport,EG,El Gora,EGH
27.97730064,34.39500046,MED,Sharm El Sheikh International Airport,EG,Sharm el-Sheikh,SSH
31.3253994,27.22170067,MED,Mersa Matruh Airport,EG,Mersa Matruh,MUH
25.5571003,34.58369827,MED,Marsa Alam International Airport,EG,Marsa Alam,RMF
31.18390083,29.94890022,MED,El Nouzha Airport,EG,Alexandria,ALY
30.91769981,29.69639969,MED,Borg El Arab International Airport,EG,Alexandria,HBE
30.12190056,31.40559959,LAR,Cairo International Airport,EG,Cairo,CAI
15.29189968,38.91070175,MED,Asmara International Airport,ER,Asmara,ASM
39.4893,-0.481625,MED,Valencia Airport,ES,Valencia,VLC
40.95209885,-5.501989841,MED,Salamanca Airport,ES,Salamanca,SLM
37.77500153,-0.812389016,MED,San Javier Airport,ES,San Javier,MJV
35.27980042,-2.956259966,MED,Melilla Airport,ES,Melilla,MLN
37.18870163,-3.777359962,MED,Federico Garcia Lorca Airport,ES,Granada,GRX
36.74459839,-6.060110092,MED,Jerez Airport,ES,Jerez de la Forntera,XRY
38.8728981,1.37311995,MED,Ibiza Airport,ES,Ibiza,IBZ
27.81480026,-17.88710022,MED,Hierro Airport,ES,El Hierro Island,VDE
40.370701,-3.78514,MED,Cuatro Vientos Airport,ES,Madrid,ECV
42.357601,-3.62076,MED,Burgos Airport,ES,Burgos,RGS
28.626499,-17.7556,LAR,La Palma Airport,ES,Sta Cruz de la Palma La Palma Island,SPC
27.93190002,-15.38659954,LAR,Gran Canaria Airport,ES,Gran Canaria Island,LPA
41.2971,2.07846,LAR,Barcelona International Airport,ES,Barcelona,BCN
40.471926,-3.56264,LAR,Adolfo Sua¡rez Madrida Barajas Airport,ES,Madrid,MAD
8.977890015,38.79930115,LAR,Addis Ababa Bole International Airport,ET,Addis Ababa,ADD
